guid,make,model,deviceType,connNetwork,hasWifi,width,depth,height,weight,speedMono,printDPI,speedColor,standardinputcapacity,maximuminputcapacity,hasA3,printTechnology,copy,scan,fax,hasDuplex,powerActive,listprice
HP0320,Hewlett-Packard,Envy 5640 e-AiO,MFD Color,FALSE,TRUE,17.87,16.1,6.3,15.04,12,4800 x 1200,8,125,125,FALSE,Inkjet,TRUE,TRUE,FALSE,TRUE,13.95,129.99
EP0084,Epson,Stylus C88,SF Color,FALSE,FALSE,18.1,9.5,7.6,10.14,22,5760 x 1440,12,120,120,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,19,129.99
SG0280,Samsung,CLP 300N,SF Color,TRUE,FALSE,15.4,13.5,10.4,30,16,2400 x 600,4,150,150,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,300,189.99
SG0277,Samsung,CLP-315,SF Color,FALSE,FALSE,15.3,12.3,9.6,24.3,16,2400 x 600,4,150,150,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,350,176
HP2134,Hewlett-Packard,DeskJet 6980,SF Color,TRUE,TRUE,17.72,17.05,5.67,15.96,9.6,4800 x 1200,5.8,150,150,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,50,183
EP0252,Epson,WorkForce WF-3620,MFD Color,TRUE,TRUE,17.68,16.42,9.57,21.38,19,4800 x 2400,10,250,250,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,17,169
EP0258,Epson,WorkForce WF-3540,MFD Color,TRUE,TRUE,17.68,16.81,12.13,24.03,15,5760 x 1440,9.3,500,500,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,17,200
EP0262,Epson,WorkForce WF-2540,MFD Color,TRUE,TRUE,15.43,14.84,8.7,13.01,9,5760 x 1440,4.7,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,FALSE,9,129.99
HP2137,Hewlett-Packard,Color LaserJet 1600,SF Color,FALSE,FALSE,16.02,17.83,14.57,40.56,8,600 x 600,8,250,500,FALSE,Laser,FALSE,FALSE,FALSE,FALSE,190,199.99
HP2138,Hewlett-Packard,DeskJet 5650,SF Color,FALSE,FALSE,17.72,18.9,5.87,5.03,23.5,1200 x 1200,17,150,400,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,40,159
HP2139,Hewlett-Packard,ENVY 4520 series,MFD Color,FALSE,TRUE,17.5,14.4,5,11.93,20,1200 x 1200,16,125,125,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,15,99.79
EP0264,Epson,Expression Home XP-420,MFD Color,TRUE,TRUE,15.39,20.8,11,8.99,9,5760 x 1440,4.5,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,13,144.33
HP2203,Hewlett-Packard,Officejet Pro K550,SF Color,TRUE,TRUE,19.53,15.9,8.4,21.38,16,4800 x 1200,16,250,600,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,180,199.99
EP0265,Epson,Stylus CX4800,MFD Color,FALSE,FALSE,13.9,16.9,7.1,18.74,20,5760 x 1440,19,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,10,130
EP0266,Epson,Expression Home XP-430,MFD Color,FALSE,TRUE,15,11,5,8.99,9,5760 x 1440,4.5,100,100,FALSE,Inkjet,TRUE,TRUE,FALSE,FALSE,12,99.99
EP0267,Epson,WorkForce Pro WP-4020,SF Color,TRUE,TRUE,18.07,25.67,15.08,24.03,16,4800 x 1200,11,330,330,FALSE,Inkjet,FALSE,FALSE,FALSE,TRUE,16,199.99
HP2152,Hewlett-Packard,DeskJet 3000 J310a,SF Color,TRUE,TRUE,16.57,14.96,10.5,4.4,20,4800 x 1200,16,60,60,FALSE,Inkjet,FALSE,FALSE,FALSE,FALSE,10,86
KM0244,Konica Minolta,bizhub C3100P,SF Color,TRUE,FALSE,17.56,21.42,13.78,52.91,31,1200 x 1200,31,350,850,FALSE,Laser,FALSE,FALSE,FALSE,TRUE,1200,169.95
BR0289,Brother,MFC-J870DW,MFD Color,TRUE,TRUE,16.14,14.72,7.09,20.5,33,600 x 1200,27,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,19,99.99
BR0290,Brother,MFC-J470DW,MFD Color,FALSE,TRUE,16.14,14.72,7.09,19.84,33,1200 x 600,27,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,18,178.99
BR0293,Brother,MFC-J885DW,MFD Color,TRUE,TRUE,15.7,13.4,6.8,16.8,12,600 x 1200,10,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,0,129.99
BR0301,Brother,MFC-J480DW,MFD Color,FALSE,TRUE,15.7,13.4,6.8,16.8,12,600 x 1200,6,100,100,FALSE,Inkjet,TRUE,TRUE,TRUE,TRUE,0,89.99
